Resistance (ohms),Temperature (K)
62.8,179.5591
62.9,179.8041
63.0,180.0497
63.1,180.2984
63.2,180.5471
63.3,180.7958
63.4,181.0444
63.5,181.2931
63.6,181.5418
63.7,181.7905
63.8,182.0391
63.9,182.2878
64.0,182.5365
64.1,182.7851
64.2,183.0338
64.3,183.2825
64.4,183.5312
64.5,183.7798
64.6,184.0285
64.7,184.2772
64.8,184.5259
64.9,184.7745
65.0,185.0232
65.1,185.2719
65.2,185.5206
65.3,185.7692
65.4,186.0179
65.5,186.2666
65.6,186.5153
65.7,186.7639
65.8,187.0126
65.9,187.2613
66.0,187.5099
66.1,187.7586
66.2,188.0073
66.3,188.256
66.4,188.5046
66.5,188.7533
66.6,189.002
66.7,189.2507
66.8,189.4993
66.9,189.748
67.0,189.9967
67.1,190.2454
67.2,190.494
67.3,190.7427
67.4,190.9914
67.5,191.2401
67.6,191.4887
67.7,191.7374
67.8,191.9861
67.9,192.2347
68.0,192.4834
68.1,192.7321
68.2,192.9808
68.3,193.2294
68.4,193.4781
68.5,193.7268
68.6,193.9755
68.7,194.2241
68.8,194.4728
68.9,194.7215
69.0,194.9702
69.1,195.2188
69.2,195.4675
69.3,195.7162
69.4,195.9649
69.5,196.2135
69.6,196.4622
69.7,196.7109
69.8,196.9595
69.9,197.2082
70.0,197.4569
70.1,197.7056
70.2,197.9542
70.3,198.2029
70.4,198.4516
70.5,198.7003
70.6,198.9489
70.7,199.1976
70.8,199.4463
70.9,199.695
71.0,199.9436
71.1,200.1923
71.2,200.441
71.3,200.6897
71.4,200.9383
71.5,201.187
71.6,201.4357
71.7,201.6844
71.8,201.933
71.9,202.1817
72.0,202.4304
72.1,202.679
72.2,202.9277
72.3,203.1764
72.4,203.4251
72.5,203.6737
72.6,203.9224
72.7,204.1711
72.8,204.4198
72.9,204.6684
73.0,204.9171
73.1,205.1658
73.2,205.4145
73.3,205.6631
73.4,205.9118
73.5,206.1605
73.6,206.4092
73.7,206.6578
73.8,206.9065
73.9,207.1552
74.0,207.4038
74.1,207.6525
74.2,207.9012
74.3,208.1499
74.4,208.3985
74.5,208.6472
74.6,208.8959
74.7,209.1446
74.8,209.3932
74.9,209.6419
75.0,209.8906
75.1,210.1415
75.2,210.3943
75.3,210.647
75.4,210.8997
75.5,211.1525
75.6,211.4052
75.7,211.658
75.8,211.9107
75.9,212.1634
76.0,212.4162
76.1,212.6689
76.2,212.9217
