,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
143,000.0000,002.3720,004.7765,007.2145,009.6872,012.1957,014.7412,017.3251,019.9486,022.6133,025.3206,028.0722,030.8696,033.7148,036.6095,039.5559,042.5559,045.6119,048.7263,051.9015,055.1403
144,000.0000,002.3552,004.7419,007.1612,009.6141,012.1016,014.6249,017.1853,019.7840,022.4224,025.1018,027.8237,030.5897,033.4015,036.2607,039.1693,042.1291,045.1423,048.2109,051.3374,054.5241
145,000.0000,002.3386,004.7079,007.1087,009.5421,012.0090,014.5107,017.0481,019.6225,022.2351,024.8873,027.5804,030.3159,033.0952,035.9201,038.7921,041.7131,044.6850,047.7097,050.7893,053.9262
146,000.0000,002.3223,004.6743,007.0570,009.4712,011.9180,014.3983,016.9133,019.4639,022.0515,024.6771,027.3421,030.0479,032.7958,035.5873,038.4240,041.3075,044.2395,047.2219,050.2566,053.3456
147,000.0000,002.3062,004.6413,007.0061,009.4015,011.8285,014.2879,016.7808,019.3082,021.8712,024.4710,027.1087,029.7855,032.5028,035.2620,038.0644,040.9117,043.8053,046.7470,049.7384,052.7815
148,000.0000,002.2903,004.6087,006.9559,009.3329,011.7404,014.1793,016.6507,019.1553,021.6944,024.2688,026.8798,029.5285,032.2161,034.9439,037.7132,040.5253,043.3818,046.2842,049.2340,052.2329
149,000.0000,002.2746,004.5766,006.9065,009.2653,011.6537,014.0726,016.5227,019.0052,021.5208,024.0705,026.6555,029.2768,031.9355,034.6328,037.3699,040.1481,042.9687,045.8331,048.7428,051.6992
150,000.0000,002.2592,004.5449,006.8579,009.1988,011.5684,013.9675,016.3970,018.8576,021.3503,023.8760,026.4356,029.0302,031.6607,034.3284,037.0342,039.7795,042.5653,045.3931,048.2641,051.1797
151,000.0000,002.2440,004.5137,006.8099,009.1332,011.4844,013.8642,016.2733,018.7126,021.1828,023.6850,026.2198,028.7884,031.3915,034.0304,036.7059,039.4192,042.1714,044.9637,047.7973,050.6735
152,000.0000,002.2289,004.4829,006.7626,009.0687,011.4017,013.7625,016.1517,018.5700,021.0184,023.4975,026.0081,028.5513,031.1278,033.7386,036.3846,039.0669,041.7865,044.5445,047.3420,050.1802
153,000.0000,002.2141,004.4526,006.7160,009.0051,011.3203,013.6624,016.0320,018.4299,020.8568,023.3133,025.8004,028.3187,030.8692,033.4527,036.0701,038.7223,041.4103,044.1351,046.8977,049.6992
154,000.0000,002.1995,004.4227,006.6701,008.9424,011.2401,013.5639,015.9144,018.2921,020.6980,023.1325,025.5964,028.0906,030.6158,033.1727,035.7622,038.3852,041.0425,043.7351,046.4639,049.2298
155,000.0000,002.1851,004.3932,006.6249,008.8807,011.1612,013.4669,015.7986,018.1566,020.5418,022.9548,025.3962,027.8668,030.3672,032.8982,035.4606,038.0551,040.6826,043.3440,046.0401,048.7717
156,000.0000,002.1708,004.3641,006.5802,008.8198,011.0834,013.3715,015.6846,018.0234,020.3884,022.7802,025.1995,027.6470,030.1233,032.6290,035.1650,037.7319,040.3305,042.9616,045.6259,048.3243
157,000.0000,002.1568,004.3353,006.5362,008.7599,011.0068,013.2774,015.5724,017.8922,020.2374,022.6086,025.0064,027.4313,029.8840,032.3651,034.8753,037.4153,039.9858,042.5874,045.2210,047.8872
158,000.0000,002.1429,004.3070,006.4928,008.7007,010.9312,013.1848,015.4620,017.7632,020.0890,022.4399,024.8165,027.2194,029.6491,032.1062,034.5913,037.1051,039.6482,042.2213,044.8250,047.4600
159,000.0000,002.1292,004.2791,006.4500,008.6424,010.8568,013.0936,015.3532,017.6362,019.9430,022.2741,024.6300,027.0113,029.4185,031.8521,034.3128,036.8011,039.3175,041.8628,044.4375,047.0422
160,000.0000,002.1157,004.2515,006.4078,008.5850,010.7835,013.0037,015.2462,017.5112,019.7993,022.1110,024.4466,026.8068,029.1920,031.6028,034.0396,036.5029,038.9935,041.5117,044.0582,046.6336
161,000.0000,002.1024,004.2243,006.3661,008.5283,010.7112,012.9152,015.1407,017.3881,019.6579,021.9505,024.2664,026.6059,028.9696,031.3580,033.7715,036.2106,038.6759,041.1678,043.6869,046.2337
162,000.0000,002.0892,004.1974,006.3250,008.4724,010.6399,012.8279,015.0368,017.2670,019.5188,021.7927,024.0891,026.4084,028.7511,031.1176,033.5083,035.9238,038.3644,040.8307,043.3232,045.8423
163,000.0000,002.0762,004.1709,006.2845,008.4173,010.5697,012.7419,014.9345,017.1476,019.3818,021.6374,023.9147,026.2142,028.5363,030.8815,033.2500,035.6423,038.0590,040.5003,042.9669,045.4590
164,000.0000,002.0633,004.1447,006.2445,008.3629,010.5004,012.6571,014.8336,017.0301,019.2469,021.4845,023.7432,026.0233,028.3253,030.6495,032.9963,035.3661,037.7593,040.1764,042.6176,045.0836
165,000.0000,002.0507,004.1189,006.2050,008.3093,010.4320,012.5736,014.7342,016.9143,019.1141,021.3341,023.5744,025.8355,028.1178,030.4215,032.7471,035.0949,037.4653,039.8586,042.2753,044.7157
166,000.0000,002.0381,004.0934,006.1660,008.2563,010.3646,012.4912,014.6363,016.8002,018.9833,021.1859,023.4083,025.6508,027.9138,030.1975,032.5023,034.8286,037.1766,039.5468,041.9395,044.3550
167,000.0000,002.0258,004.0682,006.1275,008.2041,010.2981,012.4099,014.5397,016.6878,018.8545,021.0401,023.2449,025.4691,027.7131,029.9772,032.2618,034.5670,036.8933,039.2409,041.6102,044.0015
168,000.0000,002.0135,004.0433,006.0896,008.1526,010.2326,012.3298,014.4445,016.5770,018.7276,020.8965,023.0839,025.2903,027.5158,029.7607,032.0253,034.3100,036.6150,038.9405,041.2870,043.6547
169,000.0000,002.0015,004.0187,006.0521,008.1017,010.1678,012.2508,014.3507,016.4679,018.6026,020.7550,022.9255,025.1143,027.3216,029.5477,031.7929,034.0574,036.3416,038.6456,040.9698,043.3145
170,000.0000,001.9895,003.9945,006.0151,008.0515,010.1040,012.1728,014.2581,016.3602,018.4793,020.6157,022.7695,024.9410,027.1305,029.3382,031.5643,033.8092,036.0730,038.3560,040.6585,042.9807
171,000.0000,001.9777,003.9705,005.9785,008.0019,010.0410,012.0959,014.1669,016.2541,018.3579,020.4784,022.6158,024.7704,026.9424,029.1321,031.3396,033.5651,035.8090,038.0715,040.3527,042.6530
172,000.0000,001.9661,003.9468,005.9424,007.9530,009.9788,012.0200,014.0768,016.1495,018.2382,020.3431,022.4644,024.6024,026.7573,028.9292,031.1185,033.3252,035.5496,037.7919,040.0524,042.3313
173,000.0000,001.9546,003.9235,005.9068,007.9047,009.9174,011.9451,013.9880,016.0463,018.1202,020.2098,022.3153,024.4370,026.5750,028.7296,030.9009,033.0892,035.2945,037.5172,039.7574,042.0153
174,000.0000,001.9432,003.9004,005.8715,007.8570,009.8568,011.8712,013.9004,015.9446,018.0038,020.0783,022.1684,024.2740,026.3956,028.5331,030.6869,032.8570,035.0437,037.2471,039.4675,041.7050
175,000.0000,001.9320,003.8775,005.8368,007.8099,009.7970,011.7983,013.8140,015.8442,017.8891,019.9488,022.0236,024.1135,026.2188,028.3397,030.4762,032.6286,034.7970,036.9816,039.1826,041.4000
176,000.0000,001.9209,003.8550,005.8024,007.7633,009.7379,011.7263,013.7287,015.7452,017.7759,019.8211,021.8808,023.9553,026.0447,028.1491,030.2688,032.4038,034.5543,036.7205,038.9024,041.1004
177,000.0000,001.9099,003.8327,005.7685,007.7174,009.6796,011.6553,013.6445,015.6475,017.6643,019.6951,021.7401,023.7994,025.8732,027.9615,030.0646,032.1825,034.3155,036.4636,038.6270,040.8058
178,000.0000,001.8991,003.8106,005.7349,007.6720,009.6220,011.5851,013.5614,015.5511,017.5542,019.5710,021.6014,023.6458,025.7042,027.7767,029.8635,031.9647,034.0805,036.2109,038.3561,040.5162
179,000.0000,001.8883,003.7889,005.7018,007.6272,009.5651,011.5159,013.4794,015.4560,017.4456,019.4485,021.4647,023.4944,025.5377,027.5947,029.6655,031.7503,033.8492,035.9623,038.0897,040.2315
180,000.0000,001.8777,003.7674,005.6690,007.5829,009.5090,011.4475,013.3985,015.3621,017.3384,019.3276,021.3298,023.3451,025.3735,027.4153,029.4705,031.5392,033.6215,035.7176,037.8275,039.9514
181,000.0000,001.8672,003.7461,005.6367,007.5391,009.4535,011.3799,013.3185,015.2694,017.2327,019.2084,021.1968,023.1979,025.2117,027.2385,029.2783,031.3312,033.3973,035.4767,037.5695,039.6758
182,000.0000,001.8569,003.7251,005.6047,007.4959,009.3987,011.3132,013.2396,015.1779,017.1283,019.0908,021.0656,023.0527,025.0522,027.0643,029.0889,031.1263,033.1765,035.2396,037.3156,039.4047
183,000.0000,001.8466,003.7043,005.5731,007.4531,009.3445,011.2473,013.1617,015.0876,017.0253,018.9748,020.9362,022.9095,024.8949,026.8925,028.9023,030.9245,032.9590,035.0061,037.0657,039.1379
184,000.0000,001.8365,003.6837,005.5418,007.4109,009.2910,011.1822,013.0847,014.9985,016.9236,018.8603,020.8085,022.7683,024.7398,026.7232,028.7184,030.7256,032.7448,034.7761,036.8196,038.8753
185,000.0000,001.8264,003.6634,005.5109,007.3691,009.2381,011.1179,013.0087,014.9104,016.8233,018.7472,020.6825,022.6290,024.5869,026.5562,028.5371,030.5296,032.5338,034.5496,036.5773,038.6168
186,000.0000,001.8165,003.6433,005.4804,007.3279,009.1859,011.0544,012.9336,014.8235,016.7242,018.6357,020.5581,022.4915,024.4360,026.3916,028.3584,030.3364,032.3258,034.3265,036.3386,038.3622
187,000.0000,001.8067,003.6234,005.4502,007.2871,009.1342,010.9917,012.8594,014.7376,016.6263,018.5255,020.4354,022.3559,024.2872,026.2292,028.1822,030.1460,032.1208,034.1066,036.1035,038.1115
188,000.0000,001.7970,003.6038,005.4203,007.2468,009.0832,010.9296,012.7862,014.6528,016.5297,018.4168,020.3143,022.2221,024.1403,026.0691,028.0084,029.9582,031.9188,033.8900,035.8719,037.8646
189,000.0000,001.7874,003.5843,005.3908,007.2069,009.0328,010.8684,012.7138,014.5690,016.4343,018.3094,020.1947,022.0900,023.9954,025.9111,027.8370,029.7731,031.7196,033.6764,035.6437,037.6213
190,000.0000,001.7779,003.5651,005.3616,007.1675,008.9829,010.8078,012.6422,014.4863,016.3400,018.2034,020.0766,021.9596,023.8525,025.7552,027.6679,029.5905,031.5232,033.4659,035.4187,037.3816
191,000.0000,001.7685,003.5461,005.3327,007.1286,008.9336,010.7479,012.5715,014.4045,016.2469,018.0987,019.9601,021.8309,023.7113,025.6014,027.5011,029.4105,031.3296,033.2584,035.1970,037.1455
192,000.0000,001.7592,003.5273,005.3042,007.0900,008.8849,010.6888,012.5017,014.3237,016.1549,017.9953,019.8449,021.7038,023.5721,025.4496,027.3365,029.2328,031.1386,033.0538,034.9785,036.9127
193,000.0000,001.7500,003.5086,005.2759,007.0519,008.8367,010.6303,012.4326,014.2439,016.0641,017.8932,019.7313,021.5784,023.4345,025.2998,027.1741,029.0576,030.9502,032.8520,034.7630,036.6833
194,000.0000,001.7409,003.4902,005.2480,007.0143,008.7891,010.5724,012.3644,014.1650,015.9743,017.7923,019.6190,021.4545,023.2988,025.1519,027.0139,028.8847,030.7644,032.6530,034.5506,036.4571
195,000.0000,001.7319,003.4720,005.2204,006.9770,008.7419,010.5153,012.2969,014.0870,015.8856,017.6926,019.5081,021.3322,023.1648,025.0059,026.8557,028.7141,030.5811,032.4567,034.3410,036.2340
196,000.0000,001.7230,003.4540,005.1930,006.9401,008.6954,010.4587,012.2302,014.0100,015.7979,017.5941,019.3986,021.2113,023.0324,024.8618,026.6996,028.5457,030.4002,032.2631,034.1344,036.0141
197,000.0000,001.7142,003.4361,005.1660,006.9037,008.6493,010.4028,012.1643,013.9338,015.7113,017.4968,019.2903,021.0920,022.9017,024.7195,026.5454,028.3795,030.2217,032.0720,033.9305,035.7972
198,000.0000,001.7054,003.4185,005.1392,006.8676,008.6037,010.3475,012.0991,013.8585,015.6256,017.4006,019.1834,020.9741,022.7726,024.5790,026.3933,028.2154,030.0455,031.8835,033.7294,035.5832
199,000.0000,001.6968,003.4010,005.1127,006.8319,008.5586,010.2929,012.0347,013.7840,015.5410,017.3056,019.0778,020.8576,022.6451,024.4402,026.2430,028.0535,029.8716,031.6975,033.5310,035.3722
